nFrame,nS,nI,nZ,nT,nV,pZ,pI
137,8,1,0,20,1507,0.1,0.2
138,8,1,0,20,1518,0.1,0.2
139,8,1,0,20,1529,0.1,0.2
140,8,1,0,20,1540,0.1,0.2
141,8,1,0,20,1551,0.1,0.2
142,8,1,0,20,1562,0.1,0.2
143,8,1,0,20,1573,0.1,0.2
144,8,1,0,20,1584,0.1,0.2
145,8,1,0,20,1595,0.1,0.2
146,8,1,0,20,1606,0.1,0.2
147,8,1,0,20,1617,0.1,0.2
148,8,1,0,20,1628,0.1,0.2
149,8,1,0,20,1639,0.1,0.2
150,8,1,0,20,1650,0.1,0.2
151,8,1,0,20,1661,0.1,0.2
152,8,1,0,20,1672,0.1,0.2
153,8,1,0,20,1683,0.1,0.2
154,8,1,0,20,1694,0.1,0.2
155,8,1,0,20,1705,0.1,0.2
156,8,1,0,20,1716,0.1,0.2
157,8,1,0,20,1727,0.1,0.2
158,8,1,0,20,1738,0.1,0.2
159,8,1,0,20,1749,0.1,0.2
160,8,1,0,20,1760,0.1,0.2
161,8,1,0,20,1771,0.1,0.2
162,8,1,0,20,1782,0.1,0.2
163,8,1,0,20,1793,0.1,0.2
164,8,1,0,20,1804,0.1,0.2
165,8,1,0,20,1815,0.1,0.2
166,8,1,0,20,1826,0.1,0.2
167,8,1,0,20,1837,0.1,0.2
168,8,1,0,20,1848,0.1,0.2
169,8,1,0,20,1859,0.1,0.2
170,8,1,0,20,1870,0.1,0.2
171,8,1,0,20,1881,0.1,0.2
172,8,1,0,20,1892,0.1,0.2
173,8,1,0,20,1903,0.1,0.2
174,8,1,0,20,1914,0.1,0.2
175,8,1,0,20,1925,0.1,0.2
176,8,1,0,20,1936,0.1,0.2
177,8,1,0,20,1947,0.1,0.2
178,8,1,0,20,1958,0.1,0.2
179,8,1,0,20,1969,0.1,0.2
180,8,1,0,20,1980,0.1,0.2
181,8,1,0,20,1991,0.1,0.2
182,8,1,0,20,2002,0.1,0.2
183,8,0,1,20,2013,0.1,0.2
184,8,0,1,20,2024,0.1,0.2
185,8,0,1,20,2035,0.1,0.2
186,8,0,1,20,2046,0.1,0.2
187,8,0,1,20,2057,0.1,0.2
188,8,0,1,20,2068,0.1,0.2
189,8,0,1,20,2079,0.1,0.2
190,8,0,1,20,2090,0.1,0.2
191,8,0,1,20,2101,0.1,0.2
192,8,0,1,20,2112,0.1,0.2
193,8,0,1,20,2123,0.1,0.2
194,8,0,1,20,2134,0.1,0.2
195,8,0,1,20,2145,0.1,0.2
196,8,0,1,20,2156,0.1,0.2
197,8,0,1,20,2167,0.1,0.2
198,8,0,1,20,2178,0.1,0.2
199,8,0,1,20,2189,0.1,0.2
200,8,0,1,20,2200,0.1,0.2
201,8,0,1,20,2211,0.1,0.2
202,8,0,1,20,2222,0.1,0.2
203,8,0,1,20,2233,0.1,0.2
204,8,0,1,20,2244,0.1,0.2
205,8,0,1,20,2255,0.1,0.2
206,8,0,1,20,2266,0.1,0.2
207,8,0,1,20,2277,0.1,0.2
208,8,0,1,20,2288,0.1,0.2
209,8,0,1,20,2299,0.1,0.2
210,8,0,1,20,2310,0.1,0.2
211,8,0,1,20,2321,0.1,0.2
212,8,0,1,20,2332,0.1,0.2
213,8,0,1,20,2343,0.1,0.2
214,8,0,1,20,2354,0.1,0.2
215,8,0,1,20,2365,0.1,0.2
216,8,0,1,20,2376,0.1,0.2
217,8,0,1,20,2387,0.1,0.2
218,8,0,1,20,2398,0.1,0.2
219,8,0,1,20,2409,0.1,0.2
220,8,0,1,20,2420,0.1,0.2
221,8,0,1,20,2431,0.1,0.2
222,8,0,1,20,2442,0.1,0.2
223,8,0,1,20,2453,0.1,0.2
224,8,0,1,20,2464,0.1,0.2
225,8,0,1,20,2475,0.1,0.2
226,8,0,1,20,2486,0.1,0.2
227,8,0,1,20,2497,0.1,0.2
228,8,0,1,20,2508,0.1,0.2
229,8,0,1,20,2519,0.1,0.2
230,8,0,1,20,2530,0.1,0.2
231,8,0,1,20,2541,0.1,0.2
232,8,0,1,20,2552,0.1,0.2
233,8,0,1,20,2563,0.1,0.2
234,8,0,1,20,2574,0.1,0.2
235,8,0,1,20,2585,0.1,0.2
236,8,0,1,20,2596,0.1,0.2
237,8,0,1,20,2607,0.1,0.2
238,8,0,1,20,2618,0.1,0.2
239,8,0,1,20,2629,0.1,0.2
240,8,0,1,20,2640,0.1,0.2
241,8,0,1,20,2651,0.1,0.2
242,8,0,1,20,2662,0.1,0.2
243,8,0,1,20,2673,0.1,0.2
244,8,0,1,20,2684,0.1,0.2
245,8,0,1,20,2695,0.1,0.2
246,8,0,1,20,2706,0.1,0.2
247,8,0,1,20,2717,0.1,0.2
248,8,0,1,20,2728,0.1,0.2
249,8,0,1,20,2739,0.1,0.2
250,8,0,1,20,2750,0.1,0.2
251,8,0,1,20,2761,0.1,0.2
252,8,0,1,20,2772,0.1,0.2
253,8,0,1,20,2783,0.1,0.2
254,8,0,1,20,2794,0.1,0.2
255,8,0,1,20,2805,0.1,0.2
256,8,0,1,20,2816,0.1,0.2
